City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,labuan bajo,-8.4964,119.8877,296.5,86,11,2.88,ID,1720127123
1,waitangi,-43.9535,-176.5597,281.94,96,100,3.13,NZ,1720127124
2,benguela,-12.5763,13.4055,293.11,87,80,1.85,AO,1720126833
3,georgetown,5.4112,100.3354,298.12,84,20,0.51,MY,1720127126
4,port-aux-francais,-49.35,70.2167,275.23,96,100,13.04,TF,1720127128
5,blackmans bay,-43.0167,147.3167,275.78,88,4,0.89,AU,1720127129
6,whitehorse,60.7161,-135.0538,290.27,58,75,1.54,CA,1720127130
7,samana,19.2056,-69.3369,303.27,74,40,4.12,DO,1720127131
8,ushuaia,-54.8,-68.3,275.94,93,40,1.54,AR,1720127132
9,belyy yar,53.6039,91.3903,286.09,100,9,1.0,RU,1720127134
10,fort mcmurray,56.7268,-111.381,299.92,41,20,3.6,CA,1720127135
11,new norfolk,-42.7826,147.0587,276.44,97,21,1.38,AU,1720127136
12,jamestown,42.097,-79.2353,300.07,65,20,2.06,US,1720127137
13,saint-pierre,-21.3393,55.4781,292.97,68,40,3.6,RE,1720127138
14,lagoa formosa,-18.7786,-46.4075,294.27,41,0,2.2,BR,1720127140
15,hawaiian paradise park,19.5933,-154.9731,301.89,65,100,3.6,US,1720127141
16,nago,26.5881,127.9761,301.62,85,97,2.35,JP,1720127142
17,general conesa,-40.1,-64.4333,280.52,26,2,6.86,AR,1720127143
18,tabou,4.423,-7.3528,297.17,79,10,2.98,CI,1720127144
19,albany,42.6001,-73.9662,302.53,73,63,0.45,US,1720127146
20,vilyuchinsk,52.9306,158.4028,284.3,81,87,3.35,RU,1720127147
21,yellowknife,62.456,-114.3525,295.44,46,75,7.72,CA,1720127148
22,grytviken,-54.2811,-36.5092,268.51,55,78,0.79,GS,1720127149
23,kalix,65.853,23.1565,286.35,97,100,3.65,SE,1720127150
24,lautoka,-17.6167,177.4667,301.07,69,20,0.0,FJ,1720127152
25,mariental,-24.6333,17.9667,286.55,24,0,4.08,NA,1720127153
26,grudziadz,53.4841,18.7537,289.13,94,50,3.36,PL,1720127154
27,bardai,11.65,7.2333,298.15,74,90,4.24,NG,1720127155
28,longyearbyen,78.2186,15.6401,280.06,76,75,8.75,SJ,1720127156
29,punta arenas,-53.15,-70.9167,275.16,93,100,2.57,CL,1720127082
30,zhangjiakou shi xuanhua qu,40.6103,115.0447,293.75,67,100,0.13,CN,1720127159
31,edinburgh of the seven seas,-37.0676,-12.3116,287.96,76,100,15.88,SH,1720127160
32,olonkinbyen,70.9221,-8.7187,275.22,93,42,3.4,SJ,1720127161
33,carolina beach,34.0352,-77.8936,304.31,73,94,4.52,US,1720127162
